index,sensor_id,latitude,longitude
1,400001,37.364085,-121.901149
2,400017,37.253303,-121.94544
3,400030,37.359087,-121.906538
4,400040,37.294949,-121.873109
5,400045,37.363402,-121.902233
6,400052,37.255791,-121.875479
7,400057,37.335022,-121.935522
8,400059,37.250481,-121.907735
9,400065,37.320292,-121.890281
10,400069,37.385758,-121.977493
11,400073,37.2563,-121.955559
12,400084,37.329258,-122.012053
13,400085,37.255594,-121.87471
14,400088,37.414988,-121.912685
15,400096,37.417981,-121.972547
16,400097,37.279012,-122.010614
17,400100,37.295052,-121.938872
18,400104,37.419313,-121.95548
19,400109,37.362706,-121.889426
20,400122,37.36614,-121.901132
21,400147,37.34221,-121.926305
22,400148,37.250664,-121.912479
23,400149,37.4118,-122.077964
24,400158,37.421059,-121.93678
25,400160,37.348392,-121.860589
26,400168,37.391166,-121.995524
27,400172,37.376264,-121.939712
28,400174,37.403686,-122.06976
29,400178,37.276874,-121.863698
30,400185,37.303131,-122.034527
31,400201,37.419186,-121.962831
32,400206,37.381356,-121.96211
33,400209,37.319961,-122.049031
34,400213,37.259192,-121.967128
35,400221,37.293614,-121.937899
36,400222,37.275395,-122.004702
37,400227,37.377237,-121.943586
38,400236,37.325009,-121.892984
39,400238,37.413256,-121.912324
40,400240,37.258184,-121.953853
41,400246,37.386551,-121.979462
42,400253,37.342957,-121.925721
43,400257,37.291715,-121.871799
44,400258,37.313462,-121.886197
45,400268,37.255651,-121.858078
46,400274,37.409627,-121.997252
47,400278,37.266561,-121.948692
48,400280,37.26198,-121.858479
49,400292,37.316378,-121.972052
50,400296,37.420359,-121.93915
51,400298,37.293047,-121.937861
52,400330,37.398628,-122.026802
53,400336,37.250624,-121.928209
54,400343,37.348907,-121.917833
55,400353,37.383125,-121.967496
56,400372,37.38482,-121.974251
57,400394,37.364382,-121.902692
58,400400,37.34241,-121.854543
59,400414,37.317942,-121.977301
60,400418,37.291828,-121.871836
61,400429,37.319424,-121.993175
62,400435,37.403153,-122.047463
63,400436,37.271687,-121.947037
64,400440,37.353727,-121.865827
65,400449,37.419452,-121.955498
66,400457,37.276763,-121.863661
67,400461,37.254781,-121.878917
68,400464,37.258029,-121.962211
69,400479,37.362439,-121.903211
70,400485,37.254231,-121.949216
71,400499,37.331068,-122.014931
72,400507,37.298931,-122.029806
73,400508,37.34766,-121.919969
74,400514,37.334602,-121.936288
75,400519,37.255257,-121.85256
76,400528,37.388893,-122.068829
77,400545,37.40013,-122.033628
78,400560,37.324839,-122.002891
79,400563,37.325124,-121.893062
80,400567,37.418931,-121.962821
81,400581,37.402668,-122.029069
82,400582,37.275212,-122.004898
83,400586,37.376835,-121.942537
84,400637,37.255322,-121.855765
85,400643,37.390763,-121.994912
86,400648,37.303016,-122.034801
87,400649,37.251741,-121.958118
88,400654,37.297486,-121.874117
89,400664,37.303458,-121.878143
90,400665,37.341439,-121.849299
91,400668,37.35512,-121.866967
92,400673,37.329972,-122.013423
93,400677,37.32001,-122.048757
